City;Country
Amsterdam;Netherlands
Sydney;Australia
Vienna;Austria
Stockholm;Sweden
Copenhagen;Denmark
Helsinki;Finland
Fukuoka;Japan
Berlin;Germany
Barcelona;Spain
Vancouver;Canada
Melbourne;Australia
Beijing;China
Bangkok;Thailand
Buenos Aires;Argentina
Toronto;Canada
Madrid;Spain
Jakarta;Indonesia
Seoul;South Korea
Frankfurt;Germany
Geneva;Switzerland
Tel Aviv;Israel
Istanbul;Turkey
Cairo;Egypt
Taipei;Taiwan
Los Angeles;United States
Mumbai;India
Boston;United States
Dublin;Ireland
Tokyo;Japan
Chicago;United States
Hong Kong;China
Shanghai;China
Brussels;Belgium
San Francisco;United States
Paris;France
Sao Paulo;Brazil
Zurich;Switzerland
London;United Kingdom
Johannesburg;South Africa
Milan;Italy
Washington, D.C.;United States
New York;United States
Moscow;Russia
Mexico City;Mexico
